obsnme,obsval,weight,obsgp
h_p2_cp90,255.81696263427187,1.0,head
h_p2_cp91,257.3626327622714,1.0,head
h_p2_cp92,256.1166658351336,1.0,head
h_p2_cp93,257.05978232968664,1.0,head
h_p2_cp94,256.4400522688671,1.0,head
h_p2_cp95,256.74487495911274,1.0,head
h_p2_cp96,256.78483375281445,1.0,head
h_p2_cp97,256.4433278447361,1.0,head
h_p2_cp98,257.1470825952181,1.0,head
h_p2_cp99,256.16928751354993,1.0,head
h_p2_cp100,257.5203138636832,1.0,head
h_p2_cp101,255.92967280893652,1.0,head
h_p2_cp102,257.8942064255948,1.0,head
h_p2_cp103,255.71929097708238,1.0,head
h_p2_cp104,258.25294917109386,1.0,head
h_p2_cp105,255.47138131543915,1.0,head
h_p2_cp106,258.57357949317793,1.0,head
h_p2_cp107,255.2523754413072,1.0,head
h_p2_cp108,258.8254159849479,1.0,head
h_p2_cp109,255.06856988392707,1.0,head
h_p2_cp110,258.97266601313197,1.0,head
h_p2_cp111,254.91755442784893,1.0,head
h_p2_cp112,258.98294528749614,1.0,head
h_p2_cp113,254.7963655689058,1.0,head
h_p2_cp114,258.84180916669794,1.0,head
h_p2_cp115,254.7022607419895,1.0,head
h_p2_cp116,258.5635109145308,1.0,head
h_p2_cp117,254.6323491606036,1.0,head
h_p2_cp118,258.1802710665679,1.0,head
h_p2_cp119,254.5830426903142,1.0,head
h_p2_cp120,257.7278009269227,1.0,head
h_p2_cp121,254.54939571713908,1.0,head
h_p2_cp122,257.236740730494,1.0,head
h_p2_cp123,254.52437445479632,1.0,head
h_p2_cp124,256.7301079147707,1.0,head
h_p2_cp125,254.49815987056786,1.0,head
h_p2_cp126,256.22380964326237,1.0,head
h_p2_cp127,254.4578692266819,1.0,head
h_p2_cp128,255.7283426937429,1.0,head
h_p2_cp129,254.38858511063495,1.0,head
h_p2_cp130,255.25040960741921,1.0,head
h_p2_cp131,254.2767698213977,1.0,head
h_p2_cp132,254.79417584592449,1.0,head
h_p2_cp133,254.1161129095768,1.0,head
h_p2_cp134,254.36216441917182,1.0,head
h_p2_cp135,253.91185921318456,1.0,head
h_p2_cp136,253.95584755634036,1.0,head
h_p2_cp137,253.67646142629582,1.0,head
h_p2_cp138,253.57597081459494,1.0,head
h_p2_cp139,253.42371338730624,1.0,head
h_p2_cp140,253.22275328680934,1.0,head
h_p2_cp141,253.16534383499402,1.0,head
h_p2_cp142,252.89606823260777,1.0,head
h_p2_cp143,252.9100783233252,1.0,head
h_p2_cp144,252.59562301216525,1.0,head
h_p2_cp145,252.66406574641837,1.0,head
h_p2_cp146,252.32112096790473,1.0,head
h_p2_cp147,252.4316142397904,1.0,head
h_p2_cp148,252.07238794288438,1.0,head
h_p2_cp149,252.2157811701707,1.0,head
h_p2_cp150,251.84937874382626,1.0,head
h_p2_cp151,252.01873817067587,1.0,head
h_p2_cp152,251.65202956358908,1.0,head
h_p2_cp153,251.84200669880022,1.0,head
h_p2_cp154,251.4800928206441,1.0,head
h_p2_cp155,251.68659795975842,1.0,head
h_p3_cp0,447.42673440813326,1.0,head
h_p3_cp1,457.5697824284583,1.0,head
h_p3_cp2,447.3625917077977,1.0,head
h_p3_cp3,457.45167647124407,1.0,head
h_p3_cp4,447.28748212768323,1.0,head
h_p3_cp5,457.3049820540002,1.0,head
h_p3_cp6,447.2014461201159,1.0,head
h_p3_cp7,457.1299297217399,1.0,head
h_p3_cp8,447.1043480852527,1.0,head
h_p3_cp9,456.9284674462804,1.0,head
h_p3_cp10,446.99611984078535,1.0,head
h_p3_cp11,456.7032687596754,1.0,head
h_p3_cp12,446.87692209548794,1.0,head
h_p3_cp13,456.4576858996404,1.0,head
h_p3_cp14,446.747185569831,1.0,head
h_p3_cp15,456.1954794738492,1.0,head
h_p3_cp16,446.6075913535484,1.0,head
h_p3_cp17,455.9209303681867,1.0,head
h_p3_cp18,446.45906746527316,1.0,head
h_p3_cp19,455.6389783545985,1.0,head
h_p3_cp20,446.30283510152486,1.0,head
h_p3_cp21,455.35530119437675,1.0,head
h_p3_cp22,446.1404627765436,1.0,head
h_p3_cp23,455.07635172574385,1.0,head
h_p3_cp24,445.9738421169941,1.0,head
h_p3_cp25,454.80947805946926,1.0,head
h_p3_cp26,445.80511400597834,1.0,head
h_p3_cp27,454.5633671798606,1.0,head
h_p3_cp28,445.63657893996464,1.0,head
h_p3_cp29,454.34909840437643,1.0,head
h_p3_cp30,445.47065515909105,1.0,head
h_p3_cp31,454.18191676545626,1.0,head
h_p3_cp32,445.3099673907159,1.0,head
h_p3_cp33,454.08247961064046,1.0,head
h_p3_cp34,445.15675746572185,1.0,head
h_p3_cp35,454.0668128861713,1.0,head
h_p3_cp36,445.01341089815116,1.0,head
h_p3_cp37,454.05626914655494,1.0,head
h_p3_cp38,444.8820028440073,1.0,head
h_p3_cp39,453.30921928579255,1.0,head
h_p3_cp40,444.7640227372122,1.0,head
h_p3_cp41,452.5670039310729,1.0,head
h_p3_cp42,444.6604519135581,1.0,head
h_p3_cp43,451.9081720018039,1.0,head
h_p3_cp44,444.5713076570946,1.0,head
h_p3_cp45,451.31688251623245,1.0,head
h_p3_cp46,444.49580398641956,1.0,head
h_p3_cp47,450.77323521163987,1.0,head
h_p3_cp48,444.43378565214323,1.0,head
h_p3_cp49,450.26328500884875,1.0,head
h_p3_cp50,444.3884813057856,1.0,head
h_p3_cp51,449.7783277978459,1.0,head
h_p3_cp52,444.36374685446646,1.0,head
h_p3_cp53,449.31315742985635,1.0,head
h_p3_cp54,444.36260122041153,1.0,head
h_p3_cp55,448.86473674663273,1.0,head
h_p3_cp56,444.38691602560505,1.0,head
h_p3_cp57,448.4318173827063,1.0,head
h_p3_cp58,444.43738734807624,1.0,head
h_p3_cp59,448.0144763216403,1.0,head
h_p3_cp60,444.51326896574636,1.0,head
h_p3_cp61,447.61358839526486,1.0,head
h_p3_cp62,444.61140157365435,1.0,head
h_p3_cp63,447.2305267070493,1.0,head
h_p3_cp64,444.7239710166514,1.0,head
h_p3_cp65,446.8669703109567,1.0,head
h_p3_cp66,444.834768329628,1.0,head
h_p3_cp67,446.52466443327506,1.0,head
h_p3_cp68,444.9149185314254,1.0,head
h_p3_cp69,446.2053743428372,1.0,head
h_p3_cp70,444.9240591578631,1.0,head
h_p3_cp71,445.9108810518575,1.0,head
h_p3_cp72,444.8331109645574,1.0,head
h_p3_cp73,445.64279021742993,1.0,head
h_p3_cp74,444.6695060744677,1.0,head
h_p3_cp75,445.4025426406803,1.0,head
h_p3_cp76,444.47318797868957,1.0,head
h_p3_cp77,445.19128863133693,1.0,head
h_p3_cp78,444.2755504118852,1.0,head
h_p3_cp79,445.0097801911926,1.0,head
h_p3_cp80,447.6866934999175,1.0,head
h_p3_cp81,444.4633055255583,1.0,head
h_p3_cp82,447.9900888723711,1.0,head
h_p3_cp83,444.6479207175538,1.0,head
h_p3_cp84,448.33668071886467,1.0,head
h_p3_cp85,444.79845018862795,1.0,head
h_p3_cp86,448.726247709889,1.0,head
h_p3_cp87,444.87450851743927,1.0,head
h_p3_cp88,449.15876786830074,1.0,head
h_p3_cp89,444.847803631098,1.0,head
h_p3_cp90,449.6344057224989,1.0,head
h_p3_cp91,444.7468533049905,1.0,head
h_p3_cp92,450.15328288100295,1.0,head
h_p3_cp93,444.6118622738276,1.0,head
h_p3_cp94,450.71514755998953,1.0,head
h_p3_cp95,444.47260673915497,1.0,head
h_p3_cp96,451.3190459274045,1.0,head
h_p3_cp97,444.3465068122037,1.0,head
h_p3_cp98,451.96301316408295,1.0,head
h_p3_cp99,444.2425794154909,1.0,head
h_p3_cp100,452.6436466893629,1.0,head
h_p3_cp101,444.1647678829204,1.0,head
h_p3_cp102,453.35547104326525,1.0,head
h_p3_cp103,444.1106495964729,1.0,head
h_p3_cp104,454.0901039330298,1.0,head
h_p3_cp105,444.0495743349672,1.0,head
h_p3_cp106,454.83546601309524,1.0,head
h_p3_cp107,444.01054466617603,1.0,head
h_p3_cp108,455.57560268687627,1.0,head
h_p3_cp109,443.9952396962342,1.0,head
h_p3_cp110,456.29227227899577,1.0,head
h_p3_cp111,444.0012292690208,1.0,head
h_p3_cp112,456.9697298305298,1.0,head
h_p3_cp113,444.02572962833926,1.0,head
h_p3_cp114,457.6026680405423,1.0,head
h_p3_cp115,444.0660913583363,1.0,head
h_p3_cp116,458.2021299814517,1.0,head
h_p3_cp117,444.119764299185,1.0,head
h_p3_cp118,458.7897198052861,1.0,head
h_p3_cp119,444.18421343310115,1.0,head
h_p3_cp120,459.38910908612166,1.0,head
h_p3_cp121,444.2569189510591,1.0,head
h_p3_cp122,460.0200132354709,1.0,head
h_p3_cp123,444.3353515510563,1.0,head
h_p3_cp124,460.69331735962123,1.0,head
h_p3_cp125,444.41695345130154,1.0,head
h_p3_cp126,461.4033231462613,1.0,head
h_p3_cp127,444.49921251308746,1.0,head
h_p3_cp128,462.1106290541308,1.0,head
h_p3_cp129,444.57964647509993,1.0,head
h_p3_cp130,462.7105893905175,1.0,head
h_p3_cp131,444.6559292799966,1.0,head
h_p3_cp132,463.00161687555345,1.0,head
h_p3_cp133,444.72623857015765,1.0,head
h_p3_cp134,462.76198173681274,1.0,head
h_p3_cp135,444.78922185065613,1.0,head
h_p3_cp136,462.21240635145335,1.0,head
