SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
25,1.516259561142928e-08,4.28362348631941e-09,5.778272997502415e-05,3.15465198431013e-10,1.7640830603765863e-09,2.0291610385053894e-11,3.376663183519587e-10,2.4317598961569183e-09,2.4978196284359307e-09,6.541745827475785e-09,9.340816337945498e-10,2.4796667046252277e-08,5.026943140307581e-10,0.0001355947034695432,1.8042690877120125e-09
26,2.418436432927998e-08,2.9935138716935576e-09,0.00012572004863952227,1.1751176508577442e-09,4.339647797587969e-09,2.0034560473174223e-11,9.721280617979563e-09,1.880435940890184e-09,2.17785235670593e-09,4.629274473296411e-09,3.3256605967092444e-09,1.597365520387805e-08,4.5903206274421566e-09,0.023918503178895753,2.1797911611371324e-09
27,5.096446151467475e-09,2.7732314461950382e-11,9.98116951764147e-05,5.909923545100817e-11,5.282508844376808e-09,6.014701442435972e-11,1.1239454510924945e-08,3.456023546037333e-09,1.1283368839700521e-09,1.286892910997099e-09,6.411564518132593e-10,7.27138101370157e-09,4.766549071176322e-09,0.13981041165194696,1.0397716264956684e-09
28,1.5886204520578892e-08,5.351194491363993e-09,0.00018393500523096115,8.106244492080209e-10,1.7625146009555274e-09,2.4080124096776903e-11,6.312620976491328e-10,3.6083444577448025e-09,2.1382676881185597e-09,3.767533658275398e-09,1.953409280360235e-10,2.5505467873797113e-08,1.9965248857171356e-09,0.35171844418426246,1.6756777557015015e-10
29,6.561260257065121e-09,5.587845627955344e-09,0.0001722288843854919,9.210889005654961e-10,2.3733860965281805e-09,3.3459349064475484e-11,7.671218808579279e-09,8.358295328171652e-10,2.4256477920143867e-09,5.997947431990289e-09,4.241983333622492e-09,7.721928039547675e-10,1.1376203603916787e-09,0.17535380476066353,2.025756922182858e-09
30,1.628804863600539e-09,1.277626824385311e-09,9.812603678910348e-05,1.0414903848372897e-09,5.2948422295634034e-09,6.107368433936833e-11,1.2710244049451687e-08,2.4889083928228323e-09,2.684439319731039e-09,9.109599822955011e-09,3.972848060034264e-09,6.899886588652004e-09,2.3316987839543643e-09,0.32050789174189553,1.1188439935494353e-09
31,4.45908129391538e-09,2.3869942873638665e-10,0.00017573631851278484,2.742024723728687e-10,1.954903799596441e-09,1.1154481689759808e-11,1.0204761802625059e-09,1.8343731445001596e-09,1.244679409170921e-09,9.417881308936028e-09,5.566838324210206e-09,1.3048492113928747e-08,3.270248406354635e-09,0.4521749111043878,1.6997988859442417e-09
32,2.1393919131275267e-08,1.531783166185585e-09,5.183007821376456e-05,9.021849231486211e-10,2.1637370555121745e-09,5.523841763077843e-11,1.2418763070227145e-08,1.7740437419949825e-09,2.35156226587895e-09,7.326339614975415e-09,1.0219264219291773e-09,1.7071403850117776e-08,2.460135669490656e-09,0.42993223594931185,1.1586876281652653e-09
33,1.864294081464827e-09,3.2536769697690005e-09,5.368492388730089e-05,7.221904467089892e-10,1.8089542680181173e-09,1.604049741169689e-11,8.60052481877191e-09,2.8456132425037033e-09,2.9754736559227073e-09,1.0758995221048897e-08,2.7114305164221724e-09,1.093284108782227e-08,4.569953226929638e-09,0.050618025758100926,1.510987286449733e-09
34,1.1771542997718773e-08,5.670735407614426e-09,9.006656067904418e-06,8.524307909386516e-10,3.4521103387307772e-09,5.999077137466771e-11,5.298976810989835e-10,2.05270902924707e-09,1.8092459203401567e-09,1.3619348131436276e-08,1.7028295955009157e-09,6.559693885060146e-09,2.500369677305853e-09,0.2347646366136672,1.2268631066030083e-09
