SP,SIReN_r81_c42,SIReN_r66_c34,SIReN_r35_c60,SIReN_r77_c56,SIReN_r58_c51,SIReN_r45_c36,SIReN_r70_c35,SIReN_r37_c40,SIReN_r39_c54,SIReN_r74_c58,SIReN_r54_c37,SIReN_r49_c31,SIReN_r71_c61,SIReN_r67_c31,SIReN_r59_c44,SIReN_r72_c42,SIReN_r68_c53,SIReN_r73_c62,SIReN_r58_c37,SIReN_r35_c36
20,1.940456034951193e-32,5.73e-322,345.44846757044303,2646.95947762741,46.17380010937405,2376.0882778189393,1032.124081280084,1833.622742496846,0.5053022948466096,500.4368502931748,58.568009001538805,168.30147638333332,403.95084818083535,2.7e-322,165069.59282958708,32677.556445178077,1377.9170779572623,465.45487724841985,8.200491018051655e-14,288.57793291947684
21,2.9696881049635625e-41,3.8e-322,327.2358175728156,2597.2229625427794,48.73607481407825,2672.2355408613275,1208.0336607799254,859.7638843557188,0.013166654468417902,470.61284252771503,51.69965709309274,155.2255232734347,402.9223145429895,5e-323,233631.87088295977,29235.108723907113,234.53684837532776,438.93339164183675,1.8553033776578504e-12,259.469254407751
22,5.881364173006924e-50,3.5e-323,309.02590680893155,2348.800302591036,157.89672814494287,2706.0862539826576,1331.3578886634095,281.2397793398639,0.0006264504348144199,440.8600864750132,44.600687356656536,141.0634948689715,399.0214149885756,4.05e-322,112295.16711294172,44956.4222262999,807.6675318117633,407.16702273759495,3.274090106340871e-11,237.07216228730266
23,1.5977024755567573e-58,8.8e-322,290.8910124023351,2091.577413228632,693.9598039107041,2537.1881021871172,1313.353901481048,22.96276214244992,0.0008898334935285849,410.9035718276588,46.5418945264296,125.81455196993096,393.3415090998099,6.7e-322,211655.15889007738,104772.73409073625,1447.511838857879,385.15796082173426,2.714843717562263e-10,220.23839311406877
24,7.742089065628193e-76,7.2e-322,272.9781453085497,1930.8006262913098,4646.611136540329,2353.7482452268428,1141.2867262123739,60.424384201489886,0.0009215912418506242,380.5782118173315,61.84172356057787,109.66133485637343,385.8661591802268,1e-322,194000.58248965428,6434.4997328847085,1689.22762802005,373.8268654487881,7.843746368353323e-09,207.91074111685137
25,4.159884961998222e-83,1.917788557418138e-306,255.41848556121246,1831.8737639946671,13664.81944042193,2352.9412860631824,878.9640532942533,68.7230165286141,0.001357595427760045,349.95143095647416,112.02535618267885,92.74298551218448,376.54885124151804,2.08e-322,463205.1619326985,207848.57416131112,1776.9252587591072,374.2084332458998,4.3462135018543154e-07,195.67512594223572
26,1.626415567589778e-87,4.105803534690627e-277,238.38203117314063,1703.888871407791,28141.463980299915,2545.6917279548793,389.25328808582566,49.95951029303712,0.0028876592856425846,319.22795218882715,252.13095520456125,75.2526978064912,365.2690963528132,5e-324,111544.6794109132,307943.80473709153,1713.7280146358419,390.3560586263028,1.1650981952611078e-05,177.20190817094007
27,3.432946595140614e-89,3.9981548415521227e-249,222.06289805655058,1514.9829094012518,44325.58547972186,2303.6370426690883,54.9037699497169,30.42071093816941,0.00833818625157258,288.7247695241136,595.3420976477964,22.903619576934503,351.8511344002053,5.24e-322,498189.6779321033,308070.63488115784,444.1544672892125,417.6963087754905,0.00021585345248061673,146.92191457258636
28,1.728372837297387e-88,2.876074912029533e-222,206.58893525885955,1325.873977597599,40713.59658800778,1712.6796180101364,18.608273432810073,25.915286570704463,0.02994099541116551,258.75043415805345,1323.917379800206,3.5291783057895265,336.11398156933876,5e-324,626233.7444745294,139447.98612579738,4496.674539080293,435.72078370855144,0.003013572919679662,103.69346698579712
29,1.0314079830463215e-85,1.6116601740852647e-196,192.12397648253673,1228.9323222307223,29188.247566313268,1468.166835661453,10.023206144170363,29.230677782904703,0.12002382281392507,232.18634654001988,2684.9494152401994,0.0007031566404673181,317.91704920322604,2.9e-322,222392.50425863027,112231.44827490904,15820.021845305258,437.1572819038741,0.03322694760140409,108.90031637148371
