SP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20,0.003498054406926424,0.0015510412469042206,0.050148930871438825,0.06709722863429758,0.08067818160853366,4.226855037996596,0.32780866176803525,0.01964744954017897,1.1115682410728658,0.586356339670036,0.28691083528432876,0.07919356241672318,0.025821180163643084,0.17236247125031734,0.2936682099211563,0.004414047384784621,0.008017073098328754,0.10435763997811942,0.04884459470441434,0.0031631125369713893,0.0015946724974445147,0.02710946542266702,0.8594993411515057,0.13067752169507538,1.0512589950927795
21,0.06301307113775431,0.020724489565629903,0.06706624374829599,0.03458610593288665,0.06409308007480574,2.034803268707212,1.334046428069773,0.004309972042644635,0.6824281321912602,0.3961183319008902,0.3796325563899409,0.08427276730462954,0.6291004124796954,0.07288203240403676,0.10231434160997462,0.02240030692294009,0.12838589241340442,0.01628063408686992,0.011259810594297268,0.0029924495684214686,0.003753222858186461,0.005916712318903123,0.5630714226017208,2.598354718358881,0.8477196920631643
22,0.0567964837486593,0.018800222407955616,0.04281213366564087,0.028417733025473263,0.04878638346287805,4.418291770153982,0.5274917115593795,0.019699798756260472,0.9255751325654837,0.30077263535107196,0.19163545860904155,0.05001203390847366,0.07537198627335963,0.13055032480164916,0.10520623313826169,0.03850266491968423,0.08936551839276453,0.056918554980081755,0.0564275302183792,0.0021338482820763964,0.021301146666495324,0.06799210909037393,0.6134732038222966,1.9491041648646679,0.42084726326356375
23,0.05325325919638682,0.001633163607803872,0.08167797603344563,0.11529142452878677,0.020300587284661387,0.8180030035491005,0.047535085884238534,0.03232928475989452,0.024249425553995348,0.792791006062485,0.14225727543849448,0.05504822655685073,0.15469094164680255,0.14072389228923374,0.16031487513726633,0.07593712866914795,0.07456243845488399,0.05761084724775339,0.009144108236555497,0.0023384859742303717,0.015458653607128016,0.017065251858932474,0.6057433763500035,1.5129575235976973,1.231970127625469
24,0.04473148834616125,0.002328844874979057,0.024999901797758423,0.029618937049582714,0.05475713505114657,4.709392473152561,0.4415956285547647,0.03550094611536796,0.2774591820012397,0.5470245723089603,0.07212308608533621,0.0021063264472605814,0.03439547745140156,0.018897096001157656,0.17984616061229325,0.09883714820342253,0.07453119035705225,0.08445029855158215,0.02672896506096867,0.003625136320244195,0.008106459987512452,0.05925403006812444,0.48569644549407637,1.57628055837265,1.4902991930997527
25,0.014302175489836722,0.01607938603669731,0.12929787838035028,0.026145648067916725,0.030496770529245182,1.8878322569006065,0.9394843683133971,0.026001536547351812,0.610007950929574,0.06998094227374375,0.1951218640195362,0.02955645469103058,0.00542879532714134,0.0933646305438994,0.044711196188569974,0.10540777480275987,0.0829196093325047,0.02277231185818976,0.008521900064692774,0.006049055185813368,0.0021664938028640246,0.02780085655419876,0.3205739045845859,0.44438742127896874,0.8409966381517704
26,0.04350533834656082,0.018260122342909548,0.12111789179483004,0.09208757831908673,0.06349580364159796,8.433104548475612,0.1860016745883869,0.0008532861342032109,0.2176456402941179,0.49013361112519993,0.15306526566561363,0.026872180047832192,0.28185758983849896,0.029825285150143124,0.10362585629202321,0.0775715921192547,0.014688553858663647,0.05763822721937739,0.033224601806144394,0.004748898389431344,0.00964622401239809,0.021927691771913248,0.27672750109605165,0.13438427420363377,1.2677042135435073
27,0.04008152190275694,0.017030373429995624,0.11146082671056814,0.011980780275121098,0.020841019606413446,3.464754161508852,0.8718758693760086,0.07877881326606104,0.08435277313683284,0.7673428181347898,0.3224331774473683,0.018171110473483507,0.01840807161864735,0.013491384219975915,0.1489542140896313,0.06798483933229182,0.060354065334274315,0.052479221682061046,0.07332664261706615,0.011330386571814998,0.01961554909415023,0.046535010144015156,0.12011596682705195,1.9262789489772139,1.5722237577436209
28,0.0031311292947187,0.016042514970075892,0.0656742415265341,0.07462688103283567,0.06944815267157954,3.1349237480065217,0.6066372254910576,0.019328536221812697,0.26719168095175916,0.12800185661942295,0.24444193176411175,0.018097975949181607,0.17654898021935822,0.09671230641186121,0.0966660423659907,0.07391483552799727,0.0885245575080503,0.03257178332589893,0.032143474428091186,0.01493918127521379,0.013323887351448115,0.04187660737535732,0.020506981268708927,1.2230942067096628,1.2346911121829338
29,0.04764246527261468,0.015882614628929335,0.02590623798333481,0.0467431607638239,0.01374243605626566,5.017638533952663,0.4415671192755155,0.08170150560647561,0.06341950764300794,0.5812677898525109,0.11934254419732568,0.002534943163086909,0.030192087466189725,0.032642036934824245,0.03674375776627163,0.052289281344914534,0.025537632203120428,0.03781042085250735,0.04196360230037243,0.026019018558409737,0.011976609119367935,0.05594877210331499,0.11244375443362277,1.2761430275688168,0.5224962583433423
