obsnme,obsval
h_p2_cp126,7.162316251196899e-08
h_p2_cp127,0.0005742359148825926
h_p2_cp128,4.5431261241901666e-07
h_p2_cp129,0.0001413192348991288
h_p2_cp130,2.723375928326277e-06
h_p2_cp131,3.0660849006380886e-05
h_p2_cp132,1.518013732493273e-05
h_p2_cp133,5.998562073727953e-06
h_p2_cp134,7.761896267766133e-05
h_p2_cp135,1.0756889423646498e-06
h_p2_cp136,0.00035803634682451957
h_p2_cp137,1.786684151738882e-07
h_p2_cp138,0.0014568481501555652
h_p2_cp139,2.7343730835127644e-08
h_p2_cp140,0.005066437961431802
h_p2_cp141,3.468358045211062e-09
h_p2_cp142,0.014364775768626714
h_p2_cp143,2.523847797419876e-11
h_p2_cp144,0.030766904378651816
h_p2_cp145,2.6784618967212737e-10
h_p2_cp146,0.04338159379858553
h_p2_cp147,4.600451575242914e-09
h_p2_cp148,0.030766904375923332
h_p2_cp149,2.8273007046664134e-08
h_p2_cp150,0.014364775764533988
h_p2_cp151,1.4261627256928477e-07
h_p2_cp152,0.005066437953701097
h_p2_cp153,6.25115944785648e-07
h_p2_cp154,0.0014568481442438497
h_p2_cp155,2.336089437449118e-06
h_p2_cp156,0.00035803633682007785
h_p2_cp157,7.120030659280019e-06
h_p2_cp158,7.761895676594577e-05
h_p2_cp159,1.648592001401994e-05
h_p2_cp160,1.5180134141701274e-05
h_p2_cp161,2.620556028887222e-05
h_p2_cp162,2.7233736545895226e-06
h_p2_cp163,2.937771728284133e-05
h_p2_cp164,4.543085196928587e-07
h_p2_cp165,5.792202250631817e-05
h_p2_cp166,7.15958776709158e-08
h_p2_cp167,0.00016537143437744817
h_p2_cp168,1.1176780390087515e-08
h_p2_cp169,0.00042574195163069817
h_p2_cp170,2.172328095184639e-09
h_p2_cp171,0.0008406699471379397
h_p2_cp172,8.976712706498802e-10
h_p2_cp173,0.001120021496717527
h_p2_cp174,7.303242455236614e-10
h_p2_cp175,0.0008405276710163889
h_p2_cp176,7.4078343459405e-10
h_p2_cp177,0.00042511002516221197
h_p2_cp178,9.035829862114042e-10
h_p2_cp179,0.00016304299083458318
h_p2_cp180,1.610715116839856e-09
h_p2_cp181,5.0919044497277355e-05
h_p2_cp182,3.99722921429202e-09
h_p2_cp183,1.3554172028307221e-05
h_p2_cp184,9.556060831528157e-09
h_p2_cp185,3.172305923726526e-06
h_p2_cp186,1.53600012708921e-08
h_p2_cp187,6.672084964520764e-07
h_p2_cp188,9.556060831528157e-09
h_p2_cp189,1.2785039871232584e-07
h_p2_cp190,3.996774466941133e-09
h_p2_cp191,2.2216227080207318e-08
h_p2_cp192,1.610715116839856e-09
h_p2_cp193,3.1252511689672247e-09
h_p2_cp194,9.040377335622907e-10
h_p2_cp195,-9.5042196335271e-11
h_p2_cp196,7.385096978396177e-10
h_p2_cp197,-6.057234713807702e-10
h_p2_cp198,7.053131412249058e-10
h_p2_cp199,-6.828031473560259e-10
h_p2_cp200,6.994014256633818e-10
h_p2_cp201,-6.943992048036307e-10
h_p2_cp202,6.980371836107224e-10
h_p2_cp203,-6.962181942071766e-10
h_p2_cp204,6.980371836107224e-10
h_p2_cp205,-6.964455678826198e-10
h_p2_cp206,6.984919309616089e-10
h_p2_cp207,-6.96672941558063e-10
h_p2_cp208,6.984919309616089e-10
h_p2_cp209,-6.96672941558063e-10
h_p2_cp210,6.984919309616089e-10
h_p2_cp211,-6.964455678826198e-10
h_p3_cp0,2.5210343210346764e-05
h_p3_cp1,5.084075382910669e-10
h_p3_cp2,9.376812477057683e-05
h_p3_cp3,3.5288394428789616e-10
h_p3_cp4,0.0003071754636039259
h_p3_cp5,-1.2960299500264227e-10
h_p3_cp6,0.000861335860008694
h_p3_cp7,-2.85126589005813e-10
h_p3_cp8,0.0019848073820867285
h_p3_cp9,-3.956301952712238e-11
h_p3_cp10,0.0035375391535126255
h_p3_cp11,-1.9235812942497432e-10
h_p3_cp12,0.004450462530712684
h_p3_cp13,-6.684786058031023e-10
h_p3_cp14,0.003537573684752715
h_p3_cp15,-8.030838216654956e-10
h_p3_cp16,0.0019848736046697013
h_p3_cp17,-5.170477379579097e-10
h_p3_cp18,0.0008614171506451385
h_p3_cp19,-5.89807314099744e-10
h_p3_cp20,0.00030724420594197
h_p3_cp21,-8.412825991399586e-10
h_p3_cp22,9.381098925587139e-05
h_p3_cp23,-1.8462742445990443e-10
h_p3_cp24,2.5231889139831765e-05
h_p3_cp25,2.5320332497358322e-09
h_p3_cp26,6.1069272305758204e-06
h_p3_cp27,8.693405106896535e-09
h_p3_cp28,1.3672788554686122e-06
h_p3_cp29,2.13904058909975e-08
h_p3_cp30,3.81859081244329e-07
h_p3_cp31,4.2419742385391146e-08
h_p3_cp32,6.509067134174984e-07
h_p3_cp33,6.607479008380324e-08
h_p3_cp34,3.1918807508191094e-06
h_p3_cp35,7.798507795087062e-08
h_p3_cp36,1.5650225122953998e-05
h_p3_cp37,6.771460903109983e-08
h_p3_cp38,6.978754481679061e-05
h_p3_cp39,4.5455180952558294e-08
h_p3_cp40,0.0002757558863777376
h_p3_cp41,2.4345354177057743e-08
h_p3_cp42,0.0009350461109534081
h_p3_cp43,1.0469193512108177e-08
h_p3_cp44,0.0025953399294849078
h_p3_cp45,3.6670826375484467e-09
h_p3_cp46,0.005465023812575964
h_p3_cp47,1.196440280182287e-09
h_p3_cp48,0.007620108975515905
h_p3_cp49,9.868017514236271e-11
h_p3_cp50,0.005463842527660745
