name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp159,-1.73509e-09,0,-1.73509e-09,-1.73509e-09,-1.73509e-09,-1.73509e-09,2.85995e-32,6.71633e-32,3.44974e-36,3.19929e-31,-3.85638e-32,9.57629e-32,1.73509e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp16,1.26346e-06,0,1.26346e-06,1.26346e-06,1.26346e-06,1.26346e-06,43.0335,40.286,0.0145059,209.967,2.74749,83.3194,0.0145047
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp160,1.47338e-08,0,1.47338e-08,1.47338e-08,1.47338e-08,1.47338e-08,2.67211e-23,3.63453e-23,9.33494e-28,1.54625e-22,-9.62424e-24,6.30664e-23,1.47338e-08
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp161,-2.36696e-10,0,-2.36696e-10,-2.36696e-10,-2.36696e-10,-2.36696e-10,3.71848e-17,5.07997e-17,1.2827e-21,2.16277e-16,-1.36148e-17,8.79845e-17,2.36696e-10
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp162,3.45472e-09,0,3.45472e-09,3.45472e-09,3.45472e-09,3.45472e-09,1.90046e-13,2.59585e-13,6.55445e-18,1.10523e-12,-6.95385e-14,4.49631e-13,3.45361e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp163,9.42214e-09,0,9.42214e-09,9.42214e-09,9.42214e-09,9.42214e-09,5.83855e-11,7.94506e-11,2.01353e-15,3.38494e-10,-2.10651e-11,1.37836e-10,9.08364e-09
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp17,8.79027e-10,0,8.79027e-10,8.79027e-10,8.79027e-10,8.79027e-10,56.7693,51.7774,0.0375072,270.653,4.99194,108.547,0.0375072
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp170,1.97861e-09,0,1.97861e-09,1.97861e-09,1.97861e-09,1.97861e-09,0.000493795,0.000504236,1.76863e-08,0.00231821,-1.04408e-05,0.000998031,1.57077e-08
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp172,1.97861e-09,0,1.97861e-09,1.97861e-09,1.97861e-09,1.97861e-09,0.00336717,0.00324515,1.80414e-07,0.0152702,0.000122021,0.00661231,1.78435e-07
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp174,1.97861e-09,0,1.97861e-09,1.97861e-09,1.97861e-09,1.97861e-09,0.0148728,0.0137873,2.46138e-06,0.065577,0.0010855,0.02866,2.4594e-06
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp175,4.22731e-06,0,4.22731e-06,4.22731e-06,4.22731e-06,4.22731e-06,0.0277675,0.0253511,8.93102e-06,0.120903,0.00241639,0.0531186,4.70371e-06
oname:obs.csv_otype:lst_usecol:obsval_obsnme:h_p0_cp176,1.97815e-09,0,1.97815e-09,1.97815e-09,1.97815e-09,1.97815e-09,0.0487135,0.0438621,2.99114e-05,0.209536,0.00485143,0.0925756,2.99094e-05
